epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
47,0.00029446726,0.53317025,0.53317025,,0.47112657,0.062043685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73870271,0.84255021,0.85616455,0.84019125,0.97832863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00029420862,0.5134812,0.5134812,,0.44623908,0.067242119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69204531,0.80753483,0.80893422,0.8234688,0.97702223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0002939442,0.50473289,0.50473289,,0.4473037,0.057429186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69711522,0.8083767,0.8740023,0.76957435,0.98025439,0.62132998,0.62132998,,0.56847127,0.052858712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76394034,0.85370831,0.81087045,0.91832641,0.9804687
50,0.000293674,0.48421616,0.48421616,,0.42630156,0.057914605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71645317,0.82918687,0.81888293,0.85138824,0.97939047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00029339803,0.51291026,0.51291026,,0.45300675,0.059903512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74948957,0.85204436,0.84821238,0.86518392,0.97890587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0002931163,0.53625863,0.53625863,,0.46787938,0.068379246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70332392,0.81499271,0.85483749,0.79608537,0.97655709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00029282883,0.5182892,0.5182892,,0.45705433,0.061234863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74845958,0.85085414,0.85909817,0.8534372,0.97788867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00029253563,0.51307761,0.51307761,,0.45639011,0.056687509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7184917,0.82568199,0.86633611,0.79873387,0.98054008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00029223671,0.47981353,0.47981353,,0.41884932,0.060964206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72562629,0.83074088,0.81964269,0.84849715,0.98055735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00029193208,0.50213341,0.50213341,,0.44411115,0.058022265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71347272,0.82662824,0.84158584,0.81740593,0.98038208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00029162175,0.49738321,0.49738321,,0.44032891,0.057054301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72975515,0.83332968,0.82057044,0.85308842,0.97931913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00029130573,0.45631187,0.45631187,,0.40600376,0.050308107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75626332,0.85484122,0.86759752,0.8463172,0.98307924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00029098405,0.48009246,0.48009246,,0.43068309,0.049409374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75688881,0.8566235,0.85548651,0.86110405,0.98324788,0.58582931,0.58582931,,0.53777548,0.048053832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76983169,0.85910108,0.86055771,0.86677244,0.98263139
60,0.0002906567,0.52775674,0.52775674,,0.47015456,0.05760219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75104491,0.85049723,0.8475324,0.85667791,0.98007549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.00029032371,0.48725273,0.48725273,,0.43145416,0.055798571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72699738,0.83620717,0.83688893,0.84127792,0.98169088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00028998509,0.51956658,0.51956658,,0.46297736,0.05658922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70314952,0.81606264,0.82689411,0.81261852,0.9803216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00028964085,0.4956183,0.4956183,,0.44087268,0.054745625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72511056,0.83565941,0.84077682,0.83677041,0.98028467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.00028929101,0.46597119,0.46597119,,0.41520685,0.050764339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75162179,0.85389788,0.8584117,0.85489808,0.98148207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.00028893557,0.43595224,0.43595224,,0.38787438,0.048077855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73038265,0.83422357,0.83217719,0.84271672,0.98286719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.00028857456,0.45922328,0.45922328,,0.40535654,0.053866739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72212466,0.82789173,0.85774669,0.80590676,0.98211443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.00028820799,0.45590654,0.45590654,,0.40592739,0.049979147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74920629,0.8495121,0.86502772,0.8409842,0.9824735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0.00028783587,0.46578667,0.46578667,,0.40909728,0.05668939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74005497,0.8444986,0.84625393,0.85146631,0.98085949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0.00028745821,0.50257188,0.50257188,,0.44341474,0.059157143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76849108,0.86469681,0.87093763,0.86203643,0.98041956,0.57560519,0.57560519,,0.53079763,0.044807555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77580581,0.86318079,0.86237923,0.87291907,0.98308884
70,0.00028707505,0.45633362,0.45633362,,0.40645016,0.049883453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77561161,0.86799541,0.87219778,0.87072769,0.98169927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0.00028668638,0.5132304,0.5132304,,0.45999001,0.053240388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74859771,0.84994956,0.86212776,0.84331547,0.98160815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.00028629222,0.49075951,0.49075951,,0.44337179,0.047387726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75196324,0.85209712,0.85714904,0.84972576,0.98316514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0.0002858926,0.48069396,0.48069396,,0.42756603,0.053127939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75223936,0.85464499,0.85202027,0.85994232,0.98130887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0.00028548752,0.44166682,0.44166682,,0.39623497,0.045431848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77372277,0.86537798,0.87085035,0.86208337,0.98445799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.000285077,0.45865972,0.45865972,,0.41011572,0.048544002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73678747,0.83787083,0.85427228,0.82623405,0.9825412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
