# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.1*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318311063 params_trainable=15005591
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
70,9.9159544e-06,0.26520056,0.19146019,0.073740377,0.061220099,0.19901591,0.21297781,0.18184894,0.057543965,0.050363594,0.13066032,0.12236673,0.79713273,0.88151937,0.86752429,0.89951774,0.98423497,,,,,,
71,9.9131852e-06,0.258608,0.18717781,0.071430184,0.056462419,0.19747052,0.20864706,0.17522855,0.050838932,0.047564014,0.13045731,0.12083219,0.80669291,0.88451513,0.86669916,0.90752423,0.98595685,,,,,,
72,9.9103715e-06,0.30491176,0.2221112,0.08280056,0.061969993,0.22762101,0.23916334,0.20653087,0.055657289,0.051585629,0.15689366,0.14825525,0.77427609,0.85959495,0.84390161,0.88110618,0.98471547,,,,,,
73,9.9075135e-06,0.27789517,0.20135541,0.076539755,0.063324735,0.20825677,0.21881771,0.18956335,0.05737455,0.056837377,0.13833471,0.12903912,0.79104001,0.87588646,0.85771625,0.89918207,0.98436012,,,,,,
74,9.904611e-06,0.2417879,0.17270696,0.069080948,0.065708454,0.18715134,0.19815443,0.16668546,0.057318431,0.059129466,0.11395793,0.10610197,0.81519727,0.89544668,0.87930838,0.91475747,0.98362039,,,,,,
75,9.9016642e-06,0.32541003,0.23743084,0.087979191,0.061850233,0.24255704,0.25348282,0.22159016,0.058062573,0.053704965,0.16864107,0.15851367,0.76763096,0.85207377,0.83215487,0.88118074,0.98389926,,,,,,
76,9.8986731e-06,0.29230566,0.21183198,0.080473683,0.064495388,0.21988974,0.23050807,0.19989425,0.057343417,0.056792369,0.14685745,0.13891984,0.78298081,0.86826893,0.85348615,0.88805668,0.98395633,,,,,,
77,9.8956376e-06,0.26350351,0.18972939,0.07377412,0.060131931,0.20240517,0.21453392,0.18093638,0.055770623,0.050924348,0.12962345,0.1229099,0.79923301,0.88249432,0.87053194,0.89803075,0.98477925,,,,,,
78,9.892558e-06,0.2525445,0.18177817,0.070766332,0.058645756,0.19382368,0.20556249,0.17327161,0.052177526,0.052083631,0.12459299,0.11641935,0.81043867,0.88799723,0.8721816,0.90787579,0.98500556,,,,,,
79,9.889434e-06,0.26602812,0.1924816,0.073546516,0.057602814,0.2021286,0.21382449,0.18148677,0.052059144,0.05214001,0.1338429,0.12394064,0.79519224,0.87954897,0.8592289,0.90465199,0.98542512,0.27539152,0.80181395,0.87732431,0.84492185,0.92841893,0.98372766
80,9.8862659e-06,0.27185578,0.19619564,0.075660141,0.060404118,0.20854107,0.2203657,0.18578052,0.054778603,0.054348329,0.13513521,0.12759435,0.79202791,0.87822692,0.86334218,0.89681709,0.98504538,,,,,,
81,9.8830536e-06,0.26511666,0.19256228,0.072554387,0.055634757,0.19945999,0.20775112,0.181214,0.051120262,0.051806694,0.13421652,0.12507311,0.80327452,0.87970772,0.86136012,0.90266374,0.98584708,,,,,,
82,9.8797972e-06,0.24013756,0.17147362,0.068663941,0.062729557,0.18591645,0.19858398,0.16618382,0.055168613,0.05681963,0.11401187,0.10677249,0.81576184,0.89481867,0.87913112,0.91313559,0.98429786,,,,,,
83,9.8764967e-06,0.3141869,0.2279885,0.086198398,0.061449403,0.23911615,0.25065087,0.21516281,0.059189093,0.055017209,0.16031443,0.14913468,0.76212155,0.85538841,0.83142686,0.88609443,0.98406935,,,,,,
84,9.8731521e-06,0.26953325,0.19468356,0.074849695,0.059002542,0.20501257,0.21542007,0.18578402,0.055688173,0.05123984,0.13398726,0.1258312,0.7976184,0.8772718,0.86003391,0.89868122,0.98478187,,,,,,
85,9.8697634e-06,0.28791698,0.20876641,0.079150566,0.057574172,0.22071675,0.22940894,0.19708208,0.052917348,0.049701698,0.14713783,0.13857324,0.78894154,0.86707979,0.84913974,0.89110233,0.9854574,,,,,,
86,9.8663308e-06,0.25571267,0.18462691,0.071085758,0.055348973,0.19499916,0.20686118,0.17557391,0.050619009,0.048112643,0.12819137,0.1195457,0.80442879,0.88417591,0.86567061,0.90690326,0.98604029,,,,,,
87,9.8628542e-06,0.25962489,0.18683844,0.072786457,0.059606694,0.20030068,0.21115,0.17847877,0.052788614,0.054243247,0.12829216,0.1200774,0.80379251,0.88467187,0.8668965,0.90618054,0.98532754,,,,,,
88,9.8593336e-06,0.22588604,0.1621777,0.063708341,0.054611728,0.17575996,0.1853521,0.1546198,0.046787634,0.050729358,0.11050804,0.10333219,0.82293716,0.89690326,0.88212578,0.91572364,0.98652135,,,,,,
89,9.8557692e-06,0.25697777,0.18476074,0.072217029,0.060802279,0.19811309,0.20935346,0.176479,0.05365079,0.05633464,0.12578434,0.11850405,0.80392276,0.8854468,0.8709552,0.90409877,0.98492866,0.25913645,0.81147707,0.88531597,0.8747491,0.90753074,0.98516276
90,9.8521608e-06,0.21375093,0.15294655,0.060804374,0.05447988,0.16578935,0.17597836,0.14734541,0.046913213,0.050756778,0.10269772,0.095893533,0.83426791,0.90487303,0.88998628,0.9232549,0.98664283,,,,,,
91,9.8485087e-06,0.27398182,0.19687443,0.077107397,0.065444027,0.20991027,0.22056588,0.19005446,0.059937368,0.057221122,0.13308988,0.12616346,0.79396242,0.87779487,0.86305234,0.89675935,0.98345383,,,,,,
92,9.8448128e-06,0.25104397,0.18096461,0.070079367,0.05670099,0.19201537,0.2039329,0.17207605,0.050075884,0.051196526,0.12452391,0.11861638,0.81318105,0.88653784,0.87454002,0.90136023,0.98609843,,,,,,
93,9.8410731e-06,0.24341405,0.17382062,0.069593424,0.061836473,0.18892121,0.20176491,0.16893612,0.056270621,0.055721181,0.11577967,0.10773733,0.8140917,0.89282732,0.87477166,0.91448589,0.98387316,,,,,,
