epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_temporal_encoder_enabled,train_ttf_enabled,train_ttf_patch_count,train_ttf_temporal_len,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_temporal_encoder_enabled,val_ttf_enabled,val_ttf_patch_count,val_ttf_temporal_len
50,9.9619664e-06,1.0642225,1.0642225,,,,,,,,,,,,,,,,,,,0.018413289,0.00030912896,1.0642225,,0.33342543,,0.68324029,0.23778388,,,0.65515479,0.77972028,0.69605099,0.90580581,0.96876,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9.9600913e-06,1.0329316,1.0329316,,,,,,,,,,,,,,,,,,,0.01832784,0.00032263763,1.0329316,,0.32135456,,0.66525898,0.23159033,,,0.69921483,0.81754056,0.73119318,0.93840279,0.97279027,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,9.9581713e-06,1.0633264,1.0633264,,,,,,,,,,,,,,,,,,,0.018312581,0.00031311782,1.0633264,,0.33112109,,0.6857223,0.23241488,,,0.65920636,0.78443573,0.71254173,0.89018607,0.96892859,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,9.9562063e-06,1.0049103,1.0049103,,,,,,,,,,,,,,,,,,,0.018487549,0.00035514447,1.0049103,,0.31370007,,0.6464674,0.2237139,,,0.71482926,0.82606928,0.74819229,0.93145372,0.97240887,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,9.9541965e-06,1.0692524,1.0692524,,,,,,,,,,,,,,,,,,,0.018427531,0.00033391728,1.0692524,,0.32264601,,0.70363293,0.21486736,,,0.67273827,0.79375096,0.70611555,0.92333948,0.97487952,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9.9521418e-06,1.0212847,1.0212847,,,,,,,,,,,,,,,,,,,0.018394979,0.00032230864,1.0212847,,0.31718698,,0.65972336,0.22187156,,,0.68894742,0.80784614,0.73846274,0.90840039,0.96898102,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,9.9500423e-06,1.0678472,1.0678472,,,,,,,,,,,,,,,,,,,0.018241374,0.00030852638,1.0678472,,0.32435274,,0.69997448,0.2175999,,,0.63518523,0.75869576,0.67710959,0.8871189,0.97042085,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,9.947898e-06,0.99520256,0.99520256,,,,,,,,,,,,,,,,,,,0.018116252,0.00029291439,0.99520256,,0.30402873,,0.64983743,0.20668189,,,0.70941905,0.82168274,0.74156439,0.93334809,0.97453134,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,9.9457089e-06,1.0242504,1.0242504,,,,,,,,,,,,,,,,,,,0.018208822,0.00029863311,1.0242504,,0.30295843,,0.68065073,0.2032064,,,0.71463266,0.82697919,0.74747278,0.93370861,0.97806816,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,9.943475e-06,1.027248,1.027248,,,,,,,,,,,,,,,,,,,0.01825765,0.00031848072,1.027248,,0.30728506,,0.679244,0.20359477,,,0.68077367,0.79857306,0.71679552,0.917242,0.97438502,1,1,1024,4,0.98428646,0.98428646,,,,,,,,,,,,,,,,,,,0.018294573,0.00029415951,0.98428646,,0.28298124,,0.6609335,0.20185864,,,0.69886906,0.80403606,0.76877072,0.89145032,0.97459232,1,1,1024,4
