epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
38,0.00029653285,3.7019708,3.7019708,,,,,,,,,,,,,,,,,,,,,,,,,,0.63657656,,,,,,,0.72091584,0.83179946,0.91881111,0.77140491,0.98064044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00029632675,3.7284967,3.7284967,,,,,,,,,,,,,,,,,,,,,,,,,,0.62995987,,,,,,,0.70552984,0.81767742,0.86437438,0.80231436,0.97865667,3.530166,3.530166,,,,,,,,,,,,,,,,,,,,,,,,,,0.6150995,,,,,,,0.74405947,0.83902183,0.76678107,0.95294395,0.9789092
40,0.00029611478,3.681807,3.681807,,,,,,,,,,,,,,,,,,,,,,,,,,0.63431306,,,,,,,0.75476095,0.85491163,0.82179759,0.90201553,0.97737554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00029589694,3.630749,3.630749,,,,,,,,,,,,,,,,,,,,,,,,,,0.63095419,,,,,,,0.74430358,0.84745776,0.92300927,0.79006543,0.98161449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00029567325,3.7528887,3.7528887,,,,,,,,,,,,,,,,,,,,,,,,,,0.64690723,,,,,,,0.74061916,0.84723376,0.82268562,0.88168566,0.97963797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00029544371,3.6094482,3.6094482,,,,,,,,,,,,,,,,,,,,,,,,,,0.62598906,,,,,,,0.76739399,0.86479994,0.86585878,0.87382588,0.97925451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00029520833,3.7337207,3.7337207,,,,,,,,,,,,,,,,,,,,,,,,,,0.6411265,,,,,,,0.71371093,0.81790613,0.86672871,0.79994801,0.97749207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00029496712,3.6638145,3.6638145,,,,,,,,,,,,,,,,,,,,,,,,,,0.63743992,,,,,,,0.76036095,0.86090159,0.82324166,0.90609427,0.97801347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0002947201,3.6405373,3.6405373,,,,,,,,,,,,,,,,,,,,,,,,,,0.62688665,,,,,,,0.743606,0.85010865,0.8902202,0.81938233,0.97823017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00029446726,3.5974154,3.5974154,,,,,,,,,,,,,,,,,,,,,,,,,,0.62673474,,,,,,,0.75517534,0.85608289,0.86907347,0.85219317,0.98172223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
