epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_query_alpha,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_query_alpha
36,9.9834928e-06,1.2264399,1.2264399,,,,,,,,,,,,,,,,,,,,,1.2264399,,0.46967426,,0.75676565,0,,,0.51909731,0.66799497,0.53767098,0.92884622,0.94140415,1,-0.0031794234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9.9822482e-06,1.1934673,1.1934673,,,,,,,,,,,,,,,,,,,,,1.1934673,,0.46404516,,0.72942214,0,,,0.52853406,0.67780357,0.55792418,0.94254581,0.93900277,1,-0.0031124348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9.9809585e-06,1.208692,1.208692,,,,,,,,,,,,,,,,,,,,,1.208692,,0.46400948,,0.74468255,0,,,0.51952808,0.6605159,0.53873299,0.92475283,0.94226758,1,-0.0031508975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,9.9796237e-06,1.2276956,1.2276956,,,,,,,,,,,,,,,,,,,,,1.2276956,,0.46474224,,0.76295339,0,,,0.51160679,0.66873677,0.54256903,0.91543964,0.94329971,1,-0.003212282,1.2084187,1.2084187,,,,,,,,,,,,,,,,,,,,,1.2084187,,0.43882806,,0.76959067,0,,,0.54648152,0.68190961,0.58218084,0.91281941,0.9598215,1,-0.0033841275
40,9.9782437e-06,1.1710173,1.1710173,,,,,,,,,,,,,,,,,,,,,1.1710173,,0.4508956,,0.72012165,0,,,0.55333128,0.69410242,0.5897497,0.91706136,0.94157848,1,-0.0035173633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,9.9768187e-06,1.1870724,1.1870724,,,,,,,,,,,,,,,,,,,,,1.1870724,,0.45673951,,0.73033289,0,,,0.55183759,0.69042334,0.57952148,0.90213779,0.93841909,1,-0.0034950099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9.9753485e-06,1.185308,1.185308,,,,,,,,,,,,,,,,,,,,,1.185308,,0.4526143,,0.73269365,0,,,0.55429573,0.70428901,0.59128804,0.9205048,0.94463692,1,-0.003145728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,9.9738333e-06,1.1703381,1.1703381,,,,,,,,,,,,,,,,,,,,,1.1703381,,0.44500604,,0.72533202,0,,,0.56660831,0.71622549,0.59004515,0.93080046,0.94693425,1,-0.0030868103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,9.9722731e-06,1.1707547,1.1707547,,,,,,,,,,,,,,,,,,,,,1.1707547,,0.44026842,,0.73048624,0,,,0.59094926,0.73709139,0.62027767,0.92543208,0.9534962,1,-0.003153863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,9.9706678e-06,1.1493055,1.1493055,,,,,,,,,,,,,,,,,,,,,1.1493055,,0.4387179,,0.71058756,0,,,0.56976253,0.70870737,0.58926907,0.93462131,0.94675376,1,-0.0030868557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
