epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
39,1.945371e-05,0.4097128,0.4097128,,,,,,,,,,,,,,,,,,,,,0.4097128,,0.098509428,,0.20568522,0.11241306,0.059657353,0.27148109,0.011119265,1,,,0.71060851,0.81692579,0.79255053,0.85253859,0.97585178,1,1,0.59914876,0.59914876,,,,,,,,,,,,,,,,,,,,,0.59914876,,0.20637812,,0.25365723,0.13698043,0.12991128,0.31028203,0.0041279599,1,,,0.64487881,0.76584944,0.75837569,0.80866431,0.96883641,1,1
40,1.9435471e-05,0.41594056,0.41594056,,,,,,,,,,,,,,,,,,,,,0.41594056,,0.093096343,,0.21555834,0.10773224,0.05589978,0.2820103,0.010524789,1,,,0.69410172,0.80508149,0.78342183,0.83594784,0.97709171,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.941723e-05,0.39184202,0.39184202,,,,,,,,,,,,,,,,,,,,,0.39184202,,0.085798048,,0.20526286,0.099605559,0.052655581,0.26484764,0.010997335,1,,,0.70611254,0.81580905,0.79016631,0.85562762,0.97854876,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.9398988e-05,0.38076845,0.38076845,,,,,,,,,,,,,,,,,,,,,0.38076845,,0.083316158,,0.19714103,0.095177003,0.052015791,0.26482712,0.009990851,1,,,0.71231266,0.82230776,0.79893473,0.85937173,0.97968606,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.9380743e-05,0.38976232,0.38976232,,,,,,,,,,,,,,,,,,,,,0.38976232,,0.088815975,,0.19855041,0.10185914,0.053969816,0.26903009,0.0080599732,1,,,0.71472755,0.82255802,0.79363778,0.85945434,0.97757437,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.9362497e-05,0.35789139,0.35789139,,,,,,,,,,,,,,,,,,,,,0.35789139,,0.089071648,,0.17571336,0.10541003,0.054733194,0.23570483,0.014089449,1,,,0.7415658,0.84407746,0.82239248,0.87317323,0.97737509,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.9344248e-05,0.38475142,0.38475142,,,,,,,,,,,,,,,,,,,,,0.38475142,,0.099493974,,0.18325166,0.11109765,0.060627878,0.25939349,0.0088898644,1,,,0.73216084,0.83783056,0.80854882,0.87611019,0.97470517,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.9325998e-05,0.37036602,0.37036602,,,,,,,,,,,,,,,,,,,,,0.37036602,,0.083099174,,0.18843434,0.098672144,0.050232609,0.26104782,0.010295412,1,,,0.73015913,0.83325418,0.80898662,0.86532575,0.9793837,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.9307746e-05,0.38813462,0.38813462,,,,,,,,,,,,,,,,,,,,,0.38813462,,0.087833048,,0.19822445,0.10258686,0.0522743,0.26976999,0.0066896846,1,,,0.72108225,0.82497825,0.79715749,0.86312569,0.97752901,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.9289492e-05,0.37959231,0.37959231,,,,,,,,,,,,,,,,,,,,,0.37959231,,0.087731006,,0.19582955,0.098331588,0.051640216,0.25033333,0.010462108,1,,,0.71997014,0.82495097,0.80083974,0.85925499,0.97930369,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
