# model=B31DINOv3IMLNoGateStABRMRVideoModel tfcu= lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss= aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0003 params_total=312610691 params_trainable=9456515
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
36,9.8982648e-05,0.52781693,0.52781693,,0.46600322,0.061813705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73452111,0.84141545,0.83112486,0.86335476,0.97970898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9.8918306e-05,0.51843574,0.51843574,,0.45622399,0.062211748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70732412,0.81674448,0.85768586,0.79840375,0.97900307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9.8852014e-05,0.50781033,0.50781033,,0.45207019,0.055740141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75464462,0.85569132,0.86357014,0.8559795,0.98136226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,9.8783774e-05,0.49179456,0.49179456,,0.43289264,0.058901926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73085912,0.83938404,0.84196235,0.8438229,0.98157959,0.65478331,0.65478331,,0.58670088,0.068082436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691149,0.80235429,0.8788654,0.75989358,0.97496105
40,9.871359e-05,0.5187607,0.5187607,,0.45037125,0.068389439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74081206,0.84490362,0.84208202,0.86677438,0.97861449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,9.8641463e-05,0.46733579,0.46733579,,0.40986577,0.057470019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75076505,0.85203696,0.85850428,0.853134,0.98130689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9.8567398e-05,0.4911057,0.4911057,,0.43858742,0.052518275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74620556,0.85065539,0.84467484,0.862971,0.98160055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,9.8491396e-05,0.49926393,0.49926393,,0.44531446,0.053949479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77671146,0.87155814,0.85649179,0.8929179,0.98191837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,9.8413461e-05,0.50866364,0.50866364,,0.45163857,0.057025066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75093742,0.85236359,0.84659493,0.8648459,0.98072507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,9.8333596e-05,0.52237826,0.52237826,,0.46531024,0.057068022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75541025,0.85457178,0.85169105,0.8670041,0.98084575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,9.8251804e-05,0.51820257,0.51820257,,0.45674169,0.061460881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74866886,0.85243343,0.85682887,0.85495578,0.97965708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9.8168089e-05,0.47595063,0.47595063,,0.42216252,0.053788114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7696968,0.86573794,0.88083658,0.85553742,0.98254522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,9.8082454e-05,0.5000588,0.5000588,,0.44460203,0.055456768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7342189,0.84026,0.85642661,0.83128238,0.98122886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,9.7994902e-05,0.51786702,0.51786702,,0.46210569,0.05576133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75159269,0.85143556,0.85566028,0.85914658,0.98076934,0.63080172,0.63080172,,0.57240822,0.058393504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7264827,0.82845256,0.8683225,0.80937461,0.97855368
