# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_forensic_gated_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.03*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318326648 params_trainable=15021176
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
68,9.9213594e-06,0.28678755,0.22097018,0.065817361,0.061262452,0.22415575,0.24466992,0.20571615,0.057412459,0.054684801,0.15536194,0.14349645,0.78367773,0.86507457,0.84390553,0.89117088,0.98472861,,,,,,
69,9.9186791e-06,0.21466067,0.16369175,0.050968925,0.054192288,0.17625136,0.1976375,0.15404001,0.047663167,0.048761314,0.11165856,0.10443705,0.82559444,0.90007629,0.88804502,0.91556905,0.98695862,0.31601102,0.77084835,0.85330139,0.84803415,0.89527931,0.97959364
70,9.9159544e-06,0.23600068,0.18078583,0.055214856,0.05691323,0.18752552,0.20933309,0.16933632,0.052714849,0.049817908,0.12386456,0.1154558,0.8061154,0.8876427,0.87372009,0.90442678,0.98563246,,,,,,
71,9.9131852e-06,0.22190918,0.17019566,0.051713521,0.051360259,0.17843373,0.19818866,0.15855074,0.045139981,0.047240661,0.11882253,0.10858519,0.82153827,0.89587204,0.87731942,0.9188524,0.98758317,,,,,,
72,9.9103715e-06,0.26490419,0.20389467,0.061009525,0.056580825,0.21091688,0.23056275,0.18944358,0.051858678,0.051199497,0.14362,0.13332702,0.79403923,0.87333361,0.85266688,0.89903709,0.98584387,,,,,,
73,9.9075135e-06,0.24666563,0.18881484,0.057850789,0.059314133,0.19907633,0.21804849,0.17712052,0.052649919,0.055939282,0.12991155,0.12093719,0.80190763,0.88416992,0.86690955,0.90433325,0.98553951,,,,,,
74,9.904611e-06,0.22760263,0.17271319,0.054889434,0.062880818,0.1839764,0.20350146,0.16648744,0.057238147,0.058716421,0.11388533,0.10700663,0.8173386,0.89628909,0.88377599,0.9117827,0.98403572,,,,,,
75,9.9016642e-06,0.2858575,0.2204155,0.065441997,0.057963279,0.22572202,0.24502412,0.20504422,0.054117799,0.051985731,0.15640427,0.14577238,0.78818866,0.86403298,0.84367913,0.88980765,0.98538515,,,,,,
76,9.8986731e-06,0.26799884,0.20521462,0.062784213,0.061273844,0.21707666,0.23715573,0.19344162,0.054722361,0.055952944,0.14246494,0.13497779,0.79065982,0.87279563,0.86020971,0.89241412,0.98487646,,,,,,
77,9.8956376e-06,0.24871946,0.19004733,0.058672129,0.057506665,0.2024907,0.22419436,0.18035548,0.054453901,0.050805101,0.13056394,0.12317837,0.79780604,0.88207463,0.86884349,0.89920077,0.98513583,,,,,,
